+--------+-------------------------------------+
| Symbol | Company Name                        |
+--------+-------------------------------------+
| AAPL   | Apple Inc.                          |
| MSFT   | Microsoft Corporation               |
| AMZN   | Amazon.com Inc.                     |
| GOOGL  | Alphabet Inc. (Google)              |
| FB     | Meta Platforms Inc. (Facebook)      |
| TSLA   | Tesla Inc.                          |
| NVDA   | NVIDIA Corporation                  |
| NFLX   | Netflix Inc.                        |
| ADBE   | Adobe Inc.                          |
| PYPL   | PayPal Holdings Inc.                |
| INTC   | Intel Corporation                   |
| CSCO   | Cisco Systems Inc.                  |
| PEP    | PepsiCo Inc.                        |
| DIS    | Walt Disney Company                 |
| CRM    | Salesforce.com Inc.                 |
| VZ     | Verizon Communications Inc.         |
| KO     | The Coca-Cola Company               |
| MCD    | McDonald's Corporation              |
| WMT    | Walmart Inc.                        |
| IBM    | International Business Machines Corp|
+--------+-------------------------------------+
